ID,Name,Surname,Gender,Age,Height (cm),Weight (kg),Position,Years active,Speed (m/h),Team,Pre-selected,Salary
1,Carole,Chau,Female,24,1.92,69.516,Midfielder,1,9.894,Ettinsmoor,Y,56670
2,Nu,Norred,Female,27,1.93,62.725,Forward,1,7.555,Dragon Island,N,63581
3,Ana,Artiaga,Female,29,1.53,60.081,Midfielder,3,7.705,Calavar,Y,71478
4,Antionette,Antonio,Female,31,1.58,53.916,Forward,3,9.761,Dragon Island,N,44061
5,Cherrie,Chai,Female,25,1.5,65.264,Defender,1,8.95,Bism,N,56372
6,Cari,Cheatwood,Female,19,1.72,67.866,Defender,3,9.063,Doorn,Y,72577
7,Maricruz,Mcdole,Female,35,1.7,68.768,Defender,2,10.397,Avra,N,43619
8,Jacquiline,Jarosz,Female,19,1.78,62.74,Defender,2,50.564,Calavar,Y,37166
9,Etta,Eleby,Female,23,1.87,80.018,Forward,3,10.082,Calavar,Y,27710
10,Maryellen,Mosca,Female,24,1.64,65.264,Forward,1,9.744,Ettinsmoor,N,46141
11,Shonna,Sellman,Female,22,1.91,53.069,Midfielder,2,9.306,Calavar,Y,44061
12,Dorothy,Dubiel,Female,22,1.87,71.394,Forward,3,10.017,Dragon Island,N,49662
13,Veronique,Valasquez,Female,18,1.57,75.775,Defender,1,7.844,Dragon Island,Y,30000
14,Alise,Aubert,Female,32,1.51,75.595,Defender,1,6.725,Avra,N,46346
15,Hertha,Hoehn,Female,34,1.91,78.461,Midfielder,1,9.918,Beruna,N,41039
16,Magnolia,Mcninch,Female,19,1.51,64.818,Forward,2,6.598,Island of Ramandu,Y,56830
17,Shamika,Scurry,Female,32,1.89,66.55,Forward,3,6.471,Dragon Island,N,33691
18,Irene,Ishmael,Female,31,1.53,63.78,Defender,1,8.678,Beruna,N,27685
19,Janae,Jasso,Female,18,1.85,71.062,Midfielder,2,9.26,Calormen,N,41707
20,Randa,Raimondi,Female,21,1.87,74.858,Midfielder,1,11.57,Beruna,Y,30949
21,Kathline,Klemme,Female,24,1.91,63.775,Defender,3,11.458,Galma,N,70435
